Site,Replicate,Group,Biomass
Bordjies,B1Q1,Turf,34.05
Bordjies,B1Q2,Turf,24.45
Bordjies,B1Q3,Turf,7.6
Bordjies,B1Q4,Turf,7.6
Bordjies,B1Q5,Turf,2.8
Bordjies,B1Q6,Turf,126.45
Bordjies,B1Q7,Turf,69.05
Bordjies,B1Q8,Turf,18.65
Bordjies,B2Q1,Turf,37.4
Bordjies,B2Q2,Turf,25.45
Bordjies,B2Q3,Turf,91.3
Bordjies,B2Q4,Turf,15.45
Bordjies,B2Q5,Turf,110.1
Bordjies,B2Q6,Turf,87.25
Bordjies,B2Q7,Turf,0
Bordjies,B2Q8,Turf,11
Bordjies,B1Q1,Foliose,2
Bordjies,B1Q2,Foliose,13.7
Bordjies,B1Q3,Foliose,0
Bordjies,B1Q4,Foliose,0.4
Bordjies,B1Q5,Foliose,1.1
Bordjies,B1Q6,Foliose,1.15
Bordjies,B1Q7,Foliose,0.3
Bordjies,B1Q8,Foliose,3.2
Bordjies,B2Q1,Foliose,5.4
Bordjies,B2Q2,Foliose,26.75
Bordjies,B2Q3,Foliose,1.95
Bordjies,B2Q4,Foliose,1.35
Bordjies,B2Q5,Foliose,75.65
Bordjies,B2Q6,Foliose,21.2
Bordjies,B2Q7,Foliose,0
Bordjies,B2Q8,Foliose,1.65
Bordjies,B1Q1,Scavenger,0.75
Bordjies,B1Q2,Scavenger,0.2
Bordjies,B1Q3,Scavenger,0
Bordjies,B1Q4,Scavenger,0.5
Bordjies,B1Q5,Scavenger,9.65
Bordjies,B1Q6,Scavenger,0
Bordjies,B1Q7,Scavenger,0
Bordjies,B1Q8,Scavenger,0
Bordjies,B2Q1,Scavenger,0
Bordjies,B2Q2,Scavenger,0
Bordjies,B2Q3,Scavenger,0.7
Bordjies,B2Q4,Scavenger,0
Bordjies,B2Q5,Scavenger,0
Bordjies,B2Q6,Scavenger,0
Bordjies,B2Q7,Scavenger,0
Bordjies,B2Q8,Scavenger,0
Bordjies,B1Q1,Sessile species,0
Bordjies,B1Q2,Sessile species,11.1
Bordjies,B1Q3,Sessile species,67
Bordjies,B1Q4,Sessile species,0.45
Bordjies,B1Q5,Sessile species,0
Bordjies,B1Q6,Sessile species,7.2
Bordjies,B1Q7,Sessile species,0.85
Bordjies,B1Q8,Sessile species,0
Bordjies,B2Q1,Sessile species,0.75
Bordjies,B2Q2,Sessile species,8.25
Bordjies,B2Q3,Sessile species,0.85
Bordjies,B2Q4,Sessile species,0
Bordjies,B2Q5,Sessile species,1.75
Bordjies,B2Q6,Sessile species,0.3
Bordjies,B2Q7,Sessile species,0
Bordjies,B2Q8,Sessile species,0
Bordjies,B1Q1,Herbivore,193.25
Bordjies,B1Q2,Herbivore,885.7
Bordjies,B1Q3,Herbivore,2.25
Bordjies,B1Q4,Herbivore,6.7
Bordjies,B1Q5,Herbivore,681
Bordjies,B1Q6,Herbivore,26.35
Bordjies,B1Q7,Herbivore,143.15
Bordjies,B1Q8,Herbivore,0.8
Bordjies,B2Q1,Herbivore,205.45
Bordjies,B2Q2,Herbivore,196.35
Bordjies,B2Q3,Herbivore,12.5
Bordjies,B2Q4,Herbivore,225.35
Bordjies,B2Q5,Herbivore,27.3
Bordjies,B2Q6,Herbivore,268.65
Bordjies,B2Q7,Herbivore,1343.85
Bordjies,B2Q8,Herbivore,4.6
Oudekraal,O1Q1,Turf,2.6
Oudekraal,O1Q2,Turf,2.25
Oudekraal,O1Q3,Turf,3.45
Oudekraal,O1Q4,Turf,0.35
Oudekraal,O1Q5,Turf,7.4
Oudekraal,O1Q6,Turf,3.5
Oudekraal,O1Q7,Turf,0.7
Oudekraal,O1Q8,Turf,0
Oudekraal,O2Q1,Turf,3.45
Oudekraal,O2Q2,Turf,4.05
Oudekraal,O2Q3,Turf,3.1
Oudekraal,O2Q4,Turf,0.8
Oudekraal,O2Q5,Turf,3.65
Oudekraal,O2Q6,Turf,0
Oudekraal,O2Q7,Turf,0
Oudekraal,O2Q8,Turf,0
Oudekraal,O1Q1,Foliose,179.9
Oudekraal,O1Q2,Foliose,209.4
Oudekraal,O1Q3,Foliose,336.3
Oudekraal,O1Q4,Foliose,365.25
Oudekraal,O1Q5,Foliose,38.7
Oudekraal,O1Q6,Foliose,178.45
Oudekraal,O1Q7,Foliose,36.2
Oudekraal,O1Q8,Foliose,17.35
Oudekraal,O2Q1,Foliose,11.55
Oudekraal,O2Q2,Foliose,37.25
Oudekraal,O2Q3,Foliose,4.1
Oudekraal,O2Q4,Foliose,9.6
Oudekraal,O2Q5,Foliose,56.4
Oudekraal,O2Q6,Foliose,12.65
Oudekraal,O2Q7,Foliose,53.9
Oudekraal,O2Q8,Foliose,2.85
Oudekraal,O1Q1,Scavenger,0
Oudekraal,O1Q2,Scavenger,0
Oudekraal,O1Q3,Scavenger,0
Oudekraal,O1Q4,Scavenger,12
Oudekraal,O1Q5,Scavenger,0
Oudekraal,O1Q6,Scavenger,0
Oudekraal,O1Q7,Scavenger,0
Oudekraal,O1Q8,Scavenger,0
Oudekraal,O2Q1,Scavenger,0
Oudekraal,O2Q2,Scavenger,0
Oudekraal,O2Q3,Scavenger,0
Oudekraal,O2Q4,Scavenger,0
Oudekraal,O2Q5,Scavenger,0
Oudekraal,O2Q6,Scavenger,0
Oudekraal,O2Q7,Scavenger,0
Oudekraal,O2Q8,Scavenger,0
Oudekraal,O1Q1,Sessile species,5.2
Oudekraal,O1Q2,Sessile species,2.55
Oudekraal,O1Q3,Sessile species,5.6
Oudekraal,O1Q4,Sessile species,0
Oudekraal,O1Q5,Sessile species,50.4
Oudekraal,O1Q6,Sessile species,8.35
Oudekraal,O1Q7,Sessile species,51.9
Oudekraal,O1Q8,Sessile species,0.3
Oudekraal,O2Q1,Sessile species,51.65
Oudekraal,O2Q2,Sessile species,15.55
Oudekraal,O2Q3,Sessile species,47.7
Oudekraal,O2Q4,Sessile species,420.7
Oudekraal,O2Q5,Sessile species,0.01
Oudekraal,O2Q6,Sessile species,0
Oudekraal,O2Q7,Sessile species,0
Oudekraal,O2Q8,Sessile species,0
Oudekraal,O1Q1,Herbivore,0
Oudekraal,O1Q2,Herbivore,0
Oudekraal,O1Q3,Herbivore,0.25
Oudekraal,O1Q4,Herbivore,0
Oudekraal,O1Q5,Herbivore,0
Oudekraal,O1Q6,Herbivore,0
Oudekraal,O1Q7,Herbivore,0
Oudekraal,O1Q8,Herbivore,0
Oudekraal,O2Q1,Herbivore,0.35
Oudekraal,O2Q2,Herbivore,0
Oudekraal,O2Q3,Herbivore,0.45
Oudekraal,O2Q4,Herbivore,56.85
Oudekraal,O2Q5,Herbivore,0
Oudekraal,O2Q6,Herbivore,0
Oudekraal,O2Q7,Herbivore,0
Oudekraal,O2Q8,Herbivore,26.35
Betty's Bay,Y1Q1,Turf,0.41
Betty's Bay,Y1Q2,Turf,0
Betty's Bay,Y1Q3,Turf,0
Betty's Bay,Y1Q4,Turf,0
Betty's Bay,Y1Q5,Turf,1.65
Betty's Bay,Y1Q6,Turf,0
Betty's Bay,Y1Q7,Turf,0
Betty's Bay,Y1Q8,Turf,0
Betty's Bay,Y2Q1,Turf,5.25
Betty's Bay,Y2Q2,Turf,0
Betty's Bay,Y2Q3,Turf,0.65
Betty's Bay,Y2Q4,Turf,0
Betty's Bay,Y2Q5,Turf,0
Betty's Bay,Y2Q6,Turf,0
Betty's Bay,Y2Q7,Turf,0.15
Betty's Bay,Y2Q8,Turf,0.3
Betty's Bay,Y1Q1,Foliose,0.35
Betty's Bay,Y1Q2,Foliose,1.15
Betty's Bay,Y1Q3,Foliose,0
Betty's Bay,Y1Q4,Foliose,0.3
Betty's Bay,Y1Q5,Foliose,2.15
Betty's Bay,Y1Q6,Foliose,0.35
Betty's Bay,Y1Q7,Foliose,0
Betty's Bay,Y1Q8,Foliose,0
Betty's Bay,Y2Q1,Foliose,0
Betty's Bay,Y2Q2,Foliose,0
Betty's Bay,Y2Q3,Foliose,0
Betty's Bay,Y2Q4,Foliose,0
Betty's Bay,Y2Q5,Foliose,0.7
Betty's Bay,Y2Q6,Foliose,0.55
Betty's Bay,Y2Q7,Foliose,0
Betty's Bay,Y2Q8,Foliose,0.55
Betty's Bay,Y1Q1,Scavenger,0
Betty's Bay,Y1Q2,Scavenger,0
Betty's Bay,Y1Q3,Scavenger,0
Betty's Bay,Y1Q4,Scavenger,0
Betty's Bay,Y1Q5,Scavenger,0
Betty's Bay,Y1Q6,Scavenger,0
Betty's Bay,Y1Q7,Scavenger,0
Betty's Bay,Y1Q8,Scavenger,0
Betty's Bay,Y2Q1,Scavenger,0
Betty's Bay,Y2Q2,Scavenger,0
Betty's Bay,Y2Q3,Scavenger,0
Betty's Bay,Y2Q4,Scavenger,0
Betty's Bay,Y2Q5,Scavenger,0
Betty's Bay,Y2Q6,Scavenger,0
Betty's Bay,Y2Q7,Scavenger,0
Betty's Bay,Y2Q8,Scavenger,0
Betty's Bay,Y1Q1,Sessile species,6.7
Betty's Bay,Y1Q2,Sessile species,54.9
Betty's Bay,Y1Q3,Sessile species,38.8
Betty's Bay,Y1Q4,Sessile species,86.4
Betty's Bay,Y1Q5,Sessile species,35.3
Betty's Bay,Y1Q6,Sessile species,6.85
Betty's Bay,Y1Q7,Sessile species,38.8
Betty's Bay,Y1Q8,Sessile species,3.15
Betty's Bay,Y2Q1,Sessile species,9.55
Betty's Bay,Y2Q2,Sessile species,3.6
Betty's Bay,Y2Q3,Sessile species,1.1
Betty's Bay,Y2Q4,Sessile species,136.25
Betty's Bay,Y2Q5,Sessile species,15.35
Betty's Bay,Y2Q6,Sessile species,30.75
Betty's Bay,Y2Q7,Sessile species,6.65
Betty's Bay,Y2Q8,Sessile species,46.3
Betty's Bay,Y1Q1,Herbivore,0
Betty's Bay,Y1Q2,Herbivore,0
Betty's Bay,Y1Q3,Herbivore,0
Betty's Bay,Y1Q4,Herbivore,0
Betty's Bay,Y1Q5,Herbivore,0
Betty's Bay,Y1Q6,Herbivore,279.6
Betty's Bay,Y1Q7,Herbivore,0
Betty's Bay,Y1Q8,Herbivore,0
Betty's Bay,Y2Q1,Herbivore,0
Betty's Bay,Y2Q2,Herbivore,0
Betty's Bay,Y2Q3,Herbivore,0
Betty's Bay,Y2Q4,Herbivore,399.65
Betty's Bay,Y2Q5,Herbivore,0
Betty's Bay,Y2Q6,Herbivore,0
Betty's Bay,Y2Q7,Herbivore,0
Betty's Bay,Y2Q8,Herbivore,0
